	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	MOC 	NEG1	M11	M12	M13	M14	M15	M16	M17	M19	M20	NEG2
K00156|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595	1.181	0	0	0	0	0
K00156|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.369
K00156|g__Veillonella.s__Veillonella_parvula	0	1026.378	0	0	1146.814	548.652	1737.568	239.12	675.557	452.609	1634.524	0	500.71	0	0	0	506.784	0.608	0	0	0	0
K00158	0	131.118	0	0	608.432	257.094	697.831	44.143	144.292	70.379	24741.152	0	118.639	0	0	1.193	150.26	0	0	0	0	0
K00158|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.193	0	0	0	0	0	0
K00158|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	131.118	0	0	608.432	257.094	697.831	44.143	144.292	70.379	24732.542	0	118.639	0	0	0	150.26	0	0	0	0	0
K00158|unclassified	0	0	0	0	0	0	0	0	0	0	8.611	0	0	0	0	0	0	0	0	0	0	0
K00161	0	60.983	0	0	409.157	65.49	410.511	23.015	21.862	56.264	467.909	0	25.316	0	0	0	47.185	0	0	0	0	0
K00161|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	60.983	0	0	409.157	65.49	410.511	23.015	21.862	56.264	467.909	0	25.316	0	0	0	47.185	0	0	0	0	0
K00162	0	36.857	0	0	328.929	49.951	288.161	12.218	16.578	27.91	530.961	0	15.675	0	0	9.001	21.275	0	4.419	0	0	1.105
K00162|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.419	0	0	1.105
K00162|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.762	0	0	0	0	0	0
K00162|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24	0	0	0	0	0	0
K00162|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	36.857	0	0	328.929	49.951	288.161	12.218	16.578	27.91	530.961	0	15.675	0	0	0	21.275	0	0	0	0	0
K00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.58	2.964	0	1.489	0	0	2.213
K00163|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.895	0	0	0	0	0	0
K00163|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95	0.736	0	1.489	0	0	0.744
K00163|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734	2.228	0	0	0	0	1.468
K00164	0	0	0	0	0	0	11.628	0	0	0	0	0	0	0	0	0.738	0	0	0	0	0	0
K00164|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738	0	0	0	0	0	0
K00164|unclassified	0	0	0	0	0	0	11.628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00167	0	0	0	9.168	0	0	0	0	0	0	0	0	0	0	0	0	5.03	0	0	0	0	0
K00167|unclassified	0	0	0	9.168	0	0	0	0	0	0	0	0	0	0	0	0	5.03	0	0	0	0	0
K00174	0	0	0	0	16.224	12.169	27.267	2.028	0	6.085	1978.446	0	10.142	0	0	3.212	10.279	0	2.141	0	0	1.071
K00174|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	16.224	12.169	27.267	2.028	0	6.085	1978.446	0	10.142	0	0	0	8.113	0	0	0	0	0
K00174|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.212	2.166	0	2.141	0	0	1.071
K00175	0	4508.935	0	2.028	9139.543	4951.316	12691.657	771.513	4294.003	3098.648	6741.094	0	2352.19	0	0	10.142	2331.063	2.587	6.084	0	0	2.027
K00175|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	2.028	0	0	0	0	0	0	0	0	0	0	0	10.142	1.014	0	6.084	0	0	2.027
K00175|g__Veillonella.s__Veillonella_parvula	0	4508.935	0	0	9139.543	4951.316	12691.657	771.513	4294.003	3098.648	6741.094	0	2352.19	0	0	0	2330.048	2.587	0	0	0	0
K00198	0	0	0	0	4.955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00198|unclassified	0	0	0	0	4.955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00208	0	0	0	0	4.872	0	0	0	0	0	0	0	0	0	0	5.277	10.169	0	0	0	0	0
K00208|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.277	0	0	0	0	0	0
K00208|unclassified	0	0	0	0	4.872	0	0	0	0	0	0	0	0	0	0	0	10.169	0	0	0	0	0
K00215	0	1601.941	0	0	2572.278	980.598	3334.343	399.699	1090.909	745.36	5517.418	0	816.981	0	0	4.471	937.431	9.168	0	0	0	2.981
K00215|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.471	0	0	0	0	0	2.981
K00215|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	43.18	0	0	187.117	41.797	264.889	10.475	31.313	55.383	1543.811	0	38.913	0	0	0	34.429	0	0	0	0	0
K00215|g__Veillonella.s__Veillonella_parvula	0	1558.761	0	0	2385.161	938.801	3069.453	389.225	1059.596	689.978	3973.608	0	778.068	0	0	0	903.002	2.865	0	0	0	0
K00215|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.303	0	0	0	0
K00226	0	34.686	0	1.101	380.026	65.788	304.838	16.745	13.156	35.879	702.357	0	16.745	0	0	0	34.596	6.608	0	0	0	0
K00226|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	6.608	0	0	0	0
K00226|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	34.686	0	0	380.026	65.788	304.838	16.745	13.156	35.879	702.357	0	16.745	0	0	0	34.596	0	0	0	0	0
K00228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.558	0	0	0	0	0	0	0
K00228|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.558	0	0	0	0	0	0	0
K00231	0	81.705	0	3.005	270.82	94.23	370.989	17.797	96.169	30.321	141.978	0	61.952	0	0	10.615	76.365	0	6.107	0	0	1.503
K00231|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	30.009	0	0	0	0	0	0	0	0	0	0	0
K00231|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.005	0	0	0	0	0	0	0	0	0	0	0	10.615	4.508	0	6.107	0	0	1.503
K00231|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.378	0	0	0	0	0
K00231|g__Veillonella.s__Veillonella_parvula	0	81.705	0	0	270.82	94.23	370.989	17.797	96.169	30.321	111.968	0	61.952	0	0	0	70.479	0	0	0	0	0
K00239	0	213.661	0	5.686	412.493	179.392	587.182	33.338	180.849	84.582	6068.93	0	119.696	0	0	7.944	131.525	4.027	0	0	0	1.202
K00239|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	5.686	0	0	0	0	0	0	0	0	0	0	0	6.742	3.112	1.556	0	0	0	0
K00239|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.202	1.202	0	0	0	0	1.202
K00239|g__Veillonella.s__Veillonella_parvula	0	213.661	0	0	412.493	172.924	587.182	33.338	180.849	84.582	6068.93	0	119.696	0	0	0	127.211	2.471	0	0	0	0
K00239|unclassified	0	0	0	0	0	6.469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00240	0	312.654	0	1.517	775.293	343.807	998.848	78.619	295.058	174.407	5433.112	0	182.612	0	0	5.998	213.526	2.967	0	0	0	0
K00240|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	42.489	19.599	27.31	9.105	0	22.685	1747.012	0	9.105	0	0	0	6.07	0	0	0	0	0
K00240|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	1.517	0	0	0	0	0	0	0	0	0	0	0	5.998	6.068	2.967	0	0	0	0
K00240|g__Veillonella.s__Veillonella_parvula	0	312.654	0	0	720.062	324.208	971.539	69.514	295.058	151.722	3686.1	0	173.507	0	0	0	201.389	0	0	0	0	0
K00240|unclassified	0	0	0	0	12.743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00241	0	649.828	0	0	1491.222	566.73	1997.424	150.662	473.538	225.221	5612.611	0	349.132	0	0	8.925	399.15	1.287	0	0	0	1.786
K00241|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.925	0	0	0	0	0	1.786
K00241|g__Veillonella.s__Veillonella_parvula	0	649.828	0	0	1491.222	566.73	1997.424	150.662	473.538	225.221	5612.611	0	349.132	0	0	0	399.15	1.287	0	0	0	0
K00243	0	182.837	0	0	491.283	212.57	604.927	25.953	160.364	70.448	735.982	0	121.127	0	0	0	85.287	0	0	0	0	0
K00243|g__Veillonella.s__Veillonella_parvula	0	182.837	0	0	491.283	212.57	604.927	25.953	160.364	70.448	735.982	0	121.127	0	0	0	85.287	0	0	0	0	0
K00245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49	0	0	0	0	0	0
K00245|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49	0	0	0	0	0	0
K00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.098	0	0	0	0	0	0
K00254|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.098	0	0	0	0	0	0
K00259	0	6.91	0	0	29.527	3.949	35.527	0	21.245	4.935	351	0	7.896	0	0	30.126	7.897	0	0	0	0	0
K00259|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.947	0	0	0	0	0	0
K00259|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	6.91	0	0	29.527	3.949	35.527	0	14.742	4.935	351	0	7.896	0	0	0	7.897	0	0	0	0	0
K00259|unclassified	0	0	0	0	0	0	0	0	6.503	0	0	0	0	0	0	26.18	0	0	0	0	0	0
K00262	0	241.099	0	0	1165.714	322.124	1503.082	57.702	105.012	165.921	557.113	0	82.592	0	0	9.693	98.625	0	1.615	0	0	0
K00262|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	4.858	3.238	8.097	1.619	0	0	184.421	0	0	0	0	0	3.239	0	0	0	0	0
K00262|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.693	0.808	0	1.615	0	0	0
K00262|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	241.099	0	0	1160.855	318.885	1494.985	56.083	105.012	165.921	372.692	0	82.592	0	0	0	94.579	0	0	0	0	0
K00266	0	9271.202	0	0	18784.289	5897.002	20158.778	2113.648	6558.344	3629.901	4302.129	0	4158.923	0	0	0	4620.046	0.798	0	0	0	0
K00266|g__Veillonella.s__Veillonella_parvula	0	9271.202	0	0	18784.289	5897.002	20158.778	2113.648	6558.344	3629.901	4302.129	0	4158.923	0	0	0	4620.046	0.798	0	0	0	0
K00274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.891	1.6	0	29.485	0	0	0
K00274|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.891	1.6	0	29.485	0	0	0
K00281	0	0	0	0.692	0	0	0	0	0	0	0	0	0	0	0	7.61	1.038	0.692	0	0	0.692	2.767
K00281|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0.692	0	0	0	0	0	0	0	0	0	0	0	7.61	1.038	0.692	0	0	0.692	2.767
K00282	0	0	0	0	1.652	0.826	6.605	1.649	0	2.476	1218.681	0	7.431	0	0	0	3.302	0	0	0	0	0
K00282|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	1.652	0.826	6.605	1.649	0	2.476	1218.681	0	7.431	0	0	0	3.302	0	0	0	0	0
K00283	0	0	0	0	0	5.737	2.876	5.751	0	7.165	816.959	0	0.719	0	0	0	0	0	0	0	0	0
K00283|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	5.737	2.876	5.751	0	7.165	816.959	0	0.719	0	0	0	0	0	0	0	0	0
K00286	0	8.596	0	0	64.464	10.029	64.466	5.731	5.67	14.325	160.422	0	5.727	0	0	21.649	7.161	0	0	0	0	1.34
K00286|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.563	0	0	0	0	0	0
K00286|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.086	0	0	0	0	0	1.34
K00286|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	8.596	0	0	64.464	10.029	64.466	5.731	5.67	14.325	160.422	0	5.727	0	0	0	7.161	0	0	0	0	0
K00287	0	577.474	0	0	1700.19	614.74	2003.292	128.037	548.399	366.068	1809.241	0	314.957	0	0	13.47	416.031	0	13.463	0	2.695	0
K00287|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.47	0	0	13.463	0	2.695	0
K00287|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	92.967	0	0	480.951	112.652	299.327	19.656	66.291	103.152	1008.228	0	22.113	0	0	0	46.665	0	0	0	0	0
K00287|g__Veillonella.s__Veillonella_parvula	0	484.507	0	0	1219.239	502.088	1703.964	108.381	482.108	262.916	801.013	0	292.844	0	0	0	369.366	0	0	0	0	0
K00290	0	8.62	0	0	0	5.204	7.759	0	0.817	0	577.588	0	1.724	0	0	0	1.724	0	0	0	0	0
K00290|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	1.756	0	0	0	0	492.379	0	0	0	0	0	0	0	0	0	0	0
K00290|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	8.62	0	0	0	3.448	7.759	0	0.817	0	85.209	0	1.724	0	0	0	1.724	0	0	0	0	0
K00297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.528	0	0	0	0	0	0
K00297|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.528	0	0	0	0	0	0
K00313	0	229.18	0	4.719	594.989	179.601	742.94	46.252	229.114	100.084	363.993	0	140.614	0	0	0.787	186.093	1.573	12.501	0	0	1.574
K00313|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	4.719	0	0	0	0	0	0	0	0	0	0	0	0.787	0	1.573	12.501	0	0	1.574
K00313|g__Veillonella.s__Veillonella_parvula	0	229.18	0	0	594.989	179.601	742.94	46.252	229.114	100.084	363.993	0	140.614	0	0	0	186.093	0	0	0	0	0
K00318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.525	5.017	0	0	0	0	0
K00318|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.525	5.017	0	0	0	0	0
K00324	0	0	10.09	1.381	0	0	0	0	0	0	0	0	0	0	0	0	1.381	0	0	0	0	0.691
K00324|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	1.381	0	0	0	0	0	0	0	0	0	0	0	0	1.381	0	0	0	0	0.691
K00324|unclassified	0	0	10.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.051	3.026	1.512	3.026	0	0	0.756
K00325|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.051	3.026	1.512	3.026	0	0	0.756
K00327	0	0	0	0	3.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00327|unclassified	0	0	0	0	3.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00330	0	9.75	0	3.521	7.968	0	0	0	0	0	651.613	0	0	0	0	0	18.231	0	0	0	0	11.268
K00330|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	7.968	0	0	0	0	0	651.613	0	0	0	0	0	0	0	0	0	0	0
K00330|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.042
K00330|unclassified	0	9.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.231	0	0	0	0	4.226
K00331	0	0	3.955	9.14	4.863	0	12.107	0	0	0	657.868	0	4.875	0	0	6.689	5.058	6.97	0	0	0	13.377
K00331|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	4.863	0	12.107	0	0	0	657.868	0	4.875	0	0	0	1.222	0	0	0	0	0
K00331|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.689	0	0	0	0	0	0
K00331|unclassified	0	0	3.955	9.14	0	0	0	0	0	0	0	0	0	0	0	0	3.835	6.97	0	0	0	13.377
K00333	5.129	19.233	8.248	9.932	15.295	0	18.102	0	5.892	3.315	0	0	0	0	5.627	17.532	11.797	3.789	18.189	0	11.309	8.287
K00333|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	4.992	0	0	0	0	0	0	0	0	0	0	0	3.328	0	0	3.327	0	0	0
K00333|unclassified	5.129	19.233	8.248	4.94	15.295	0	18.102	0	5.892	3.315	0	0	0	0	5.627	14.204	11.797	3.789	14.862	0	11.309	8.287
K00334	0	0	0	0	2.842	0	0	0	0	0	0	0	0	0	0	5.831	0	0	5.829	0	0	2.915
K00334|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.831	0	0	5.829	0	0	2.915
K00334|unclassified	0	0	0	0	2.842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.619	1.587	0	0	0	0	0
K00335|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.619	1.587	0	0	0	0	0
K00336	0	0	0	0.855	0	0	0	0	0	0	0	0	0	0	0	3.417	1.277	0	5.13	0	0	0.855
K00336|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0.855	0	0	0	0	0	0	0	0	0	0	0	3.417	1.277	0	5.13	0	0	0.855
K00337	0	0	5.428	0	29.038	0	8.065	2.016	0	0	553.881	0	0	0	0	4.906	6.444	5.869	1.635	0	0	1.635
K00337|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	4.031	0	8.065	2.016	0	0	553.881	0	0	0	0	0	2.016	0	0	0	0	0
K00337|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.906	2.452	0	1.635	0	0	1.635
K00337|unclassified	0	0	5.428	0	25.007	0	0	0	0	0	0	0	0	0	0	0	1.975	5.869	0	0	0	0
K00338	0	0	0	0	13.73	0	4.577	0	0	4.577	297.087	0	0	0	0	0	7.639	0	0	0	0	9.569
K00338|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	13.73	0	4.577	0	0	4.577	297.087	0	0	0	0	0	2.288	0	0	0	0	0
K00338|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.569
K00338|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35	0	0	0	0	0
K00339	0	0	0	0	0	0	4.545	0	0	0	600.798	0	0	0	0	0	0	0	0	0	0	0
K00339|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	4.545	0	0	0	600.798	0	0	0	0	0	0	0	0	0	0	0
K00340	4.195	0	1.566	0	9.613	0	4.265	0	0	0	407.422	0	0	1.731	0	29.701	8.494	3.919	0	0	0	21.462
K00340|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	407.422	0	0	0	0	0	0	0	0	0	0	0
K00340|unclassified	4.195	0	1.566	0	9.613	0	4.265	0	0	0	0	0	0	1.731	0	29.701	8.494	3.919	0	0	0	21.462
K00341	0	0	0	0	2.594	3.069	8.173	2.046	0	0	454.624	0	0	0	0	5.596	3.165	0	1.119	0	2.238	0
K00341|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	2.594	3.069	8.173	2.046	0	0	454.624	0	0	0	0	0	2.046	0	0	0	0	0
K00341|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.596	1.119	0	1.119	0	2.238	0
K00342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.173	0	1.434	0	0	1.434
K00342|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.173	0	1.434	0	0	1.434
K00343	0	0	0	0	15.704	5.984	20.193	2.243	0	0	661.595	0	7.478	0	0	0	8.586	1.318	0	0	0	0
K00343|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	15.704	5.984	20.193	2.243	0	0	661.595	0	7.478	0	0	0	5.949	0	0	0	0	0
K00343|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.637	1.318	0	0	0	0
K00346	0	0	0	0	4.8	0	9.599	3.2	0	0	761.721	0	3.2	0	0	4.822	6.399	0	0	0	0	0
K00346|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.822	0	0	0	0	0	0
K00346|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	4.8	0	9.599	3.2	0	0	761.721	0	3.2	0	0	0	6.399	0	0	0	0	0
K00349	0	0	0	0	7.547	3.774	0	3.774	0	7.547	287.973	0	0	0	0	0	0	0	0	0	0	0
K00349|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	7.547	3.774	0	3.774	0	7.547	287.973	0	0	0	0	0	0	0	0	0	0	0
K00350	0	0	0	0	0	0	0	3.598	0	3.791	388.192	0	0	0	0	0	1.898	0	0	0	0	0
K00350|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	3.598	0	3.791	388.192	0	0	0	0	0	1.898	0	0	0	0	0
K00351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.521	0	0	0	0	0	0
K00351|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.521	0	0	0	0	0	0
K00354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.996	1.998	0	1.997	0	0	0
K00354|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.996	1.998	0	1.997	0	0	0
K00355	0	1284.51	0	0	1363.557	714.005	2129.383	262.976	940.966	640.595	1514.568	0	634.446	0	0	0	622.034	0	0	0	0	0
K00355|g__Veillonella.s__Veillonella_parvula	0	1284.51	0	0	1363.557	714.005	2129.383	262.976	940.966	640.595	1514.568	0	634.446	0	0	0	622.034	0	0	0	0	0
K00364	0	1200.003	19.108	0	4563.618	1241.528	3817.548	325.745	637.076	804.288	2603.646	0	493.307	0	0	0	525.953	4.488	0	0	0	0
K00364|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	413.547	0	0	3085.49	527.24	2015.582	153.267	83.328	346.879	677.9	0	116.101	0	0	0	94.64	0	0	0	0	0
K00364|g__Veillonella.s__Veillonella_parvula	0	786.456	0	0	1478.128	714.288	1799.189	172.478	553.748	457.409	1925.746	0	377.206	0	0	0	431.313	4.488	0	0	0	0
K00364|unclassified	0	0	19.108	0	0	0	2.776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.102	0	0	0	0	0	0
K00370|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.102	0	0	0	0	0	0
K00371	0	408.234	0	0	1405.664	477.956	1713.706	74.208	387.232	190.329	653.876	0	272.751	0	0	2.642	296.316	0	0	0	0	0
K00371|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.642	1.321	0	0	0	0	0
K00371|g__Veillonella.s__Veillonella_parvula	0	408.234	0	0	1405.664	477.956	1713.706	74.208	387.232	190.329	653.876	0	272.751	0	0	0	294.995	0	0	0	0	0
K00373	0	323.899	0	0	998.726	362.094	1443.95	98.79	436.561	119.66	654.914	0	230.505	0	0	9.356	285.301	0	0	0	0	0
K00373|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.356	3.12	0	0	0	0	0
K00373|g__Veillonella.s__Veillonella_parvula	0	323.899	0	0	998.726	362.094	1443.95	98.79	436.561	119.66	654.914	0	230.505	0	0	0	282.18	0	0	0	0	0
K00374	0	362.995	0	0	1429.634	606.245	1667.116	101.207	481.799	199.095	862.142	0	245.923	0	0	5.45	304.081	0	0	0	0	0
K00374|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45	0	0	0	0	0	0
K00374|g__Veillonella.s__Veillonella_parvula	0	362.995	0	0	1429.634	606.245	1667.116	101.207	481.799	199.095	862.142	0	245.923	0	0	0	304.081	0	0	0	0	0
K00382	0	34993.423	0	6.109	53347.752	29401.546	73491.77	8043.725	25877.908	18295.187	11633.6	0	15969.289	0	0	3.064	18420.865	7.052	1.534	0	0	6.874
K00382|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	1.581	4.741	11.066	3.162	0	0	622.431	0	1.581	0	0	0	1.581	0	0	0	0	0
K00382|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	6.109	0	0	0	0	0	0	0	0	0	0	0	1.534	0	0	1.534	0	0	3.834
K00382|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	6.979	0	0	0	0	3.04
K00382|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	74.135	0	0	239.72	54.177	395.631	3.117	28.664	24.895	330.502	0	34.906	0	0	0	33.005	0	0	0	0	0
K00382|g__Veillonella.s__Veillonella_parvula	0	34905.644	0	0	53083.491	29332.497	73057.279	8037.445	25839.179	18262.377	10680.667	0	15924.874	0	0	0	18372.074	7.052	0	0	0	0
K00382|unclassified	0	13.644	0	0	22.961	10.131	27.795	0	10.064	7.914	0	0	7.928	0	0	0	7.225	0	0	0	0	0
K00383	0	0	0	0	1.982	0	0	0	0	0	0	0	0	0	0	3.147	0	0	0	0	0	0
K00383|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.147	0	0	0	0	0	0
K00383|unclassified	0	0	0	0	1.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
